Episode,Reward
725,-1
726,0.5
727,-1
728,-1
729,0.33333333333333326
730,-1
731,-1
732,-1
733,0.5
734,-1
735,0.33333333333333326
736,-1
737,3.25
738,0.5
739,1
740,-1
741,-1
742,-1
743,-1
744,-1
745,-1
746,1
747,0.16666666666666674
748,-1
749,-1
750,-1
751,-1
752,-1
753,0.5
754,0.33333333333333326
755,-1
756,-1
757,0.11111111111111116
758,-1
759,-1
760,-1
761,-1
762,-1
763,-1
764,0.33333333333333326
765,1
766,-1
767,1.0
768,-1
769,0.25
770,1.0
771,-1
772,-1
773,-1
774,-1
775,-1
776,-1
777,-1
778,2.75
779,-1
780,0.25
781,-1
782,-1
783,-1
784,1
785,1.0
786,-1
787,-1
788,-1
789,1
790,-1
791,-1
792,-1
793,2.3666666666666667
794,-1
795,-1
796,-1
797,-1
798,-1
799,-1
800,4.0
801,-1
802,1
803,0.5
804,-1
805,-1
806,-1
807,2.340909090909091
808,-1
809,-1
810,-1
811,-1
812,-1
813,0.1428571428571428
814,1.0
815,1.0
816,0.1428571428571428
817,0.33333333333333326
818,0.33333333333333326
819,0.33333333333333326
820,-1
821,-1
822,-1
823,-1
824,0.19999999999999996
825,-1
826,2.583333333333333
827,0.33333333333333326
828,3.2
829,-1
830,-1
831,1.0
832,-1
833,0.16666666666666674
834,2.2777777777777777
835,0.25
836,-1
837,-1
838,3.125
839,-1
840,-1
841,0.33333333333333326
842,3.5
843,0.25
844,2.3095238095238093
845,-1
846,-1
847,-1
848,-1
849,0.5
850,2.290909090909091
851,-1
852,0.16666666666666674
853,-1
854,4
855,-1
856,1
857,-1
858,-1
859,1
860,-1
861,-1
862,-1
863,-1
864,1
865,1
866,0.25
867,-1
868,-1
869,0.16666666666666674
870,-1
871,-1
872,-1
873,-1
874,0.5
875,1
876,-1
877,-1
878,1.0
879,-1
880,3.2
881,-1
882,4.0
883,-1
884,1
885,0.19999999999999996
886,-1
887,3.5
888,-1
889,-1
890,-1
891,3.25
892,-1
893,1
894,-1
895,1.0
896,0.33333333333333326
897,-1
898,1.0
899,-1
900,-1
901,-1
902,1
903,-1
904,-1
905,2.5
906,1
907,3.333333333333333
908,-1
909,1
910,0.19999999999999996
911,0.19999999999999996
912,3.5
913,-1
914,-1
915,-1
916,-1
917,0.5
918,0.5
919,0.25
920,-1
921,-1
922,-1
923,-1
924,-1
925,0.25
926,-1
927,1
928,3.166666666666667
929,0.19999999999999996
930,3.2
931,0.33333333333333326
932,-1
933,-1
934,-1
935,3.5
936,0.33333333333333326
937,-1
938,-1
939,-1
940,-1
941,-1
942,-1
943,0.10000000000000009
944,-1
