Episode,Reward
1258,-1
1259,3.5
1260,0.19999999999999996
1261,-1
1262,-1
1263,-1
1264,2.267857142857143
1265,0.19999999999999996
1266,0.33333333333333326
1267,-1
1268,-1
1269,-1
1270,-1
1271,2.458333333333333
1272,-1
1273,-1
1274,-1
1275,-1
1276,4.0
1277,1
1278,-1
1279,0.25
1280,0.5
1281,1.0
1282,-1
1283,3.333333333333333
1284,0.5
1285,-1
1286,-1
1287,0.25
1288,-1
1289,3.25
1290,-1
1291,-1
1292,-1
1293,-1
1294,-1
1295,-1
1296,-1
1297,1
1298,-1
1299,-1
1300,-1
1301,-1
1302,-1
1303,-1
1304,1.0
1305,4.0
1306,-1
1307,-1
1308,-1
1309,-1
1310,0.5
1311,-1
1312,3.2
1313,-1
1314,-1
1315,0.5
1316,-1
1317,-1
1318,-1
1319,-1
1320,-1
1321,2.6666666666666665
1322,-1
1323,-1
1324,-1
1325,-1
1326,2.533333333333333
1327,1.0
1328,3.5
1329,-1
1330,0.5
1331,-1
1332,-1
1333,0.5
1334,1.0
1335,-1
1336,-1
1337,1
1338,-1
1339,-1
1340,-1
1341,1
1342,4
1343,2.424242424242424
1344,-1
1345,-1
1346,-1
1347,-1
1348,-1
1349,-1
1350,1.0
1351,-1
1352,3.5
1353,-1
1354,-1
1355,2.75
1356,-1
1357,-1
1358,4.0
1359,0.33333333333333326
1360,0.5
1361,-1
1362,0.33333333333333326
1363,-1
1364,-1
1365,1
1366,0.5
1367,-1
1368,-1
1369,-1
1370,-1
1371,-1
1372,-1
1373,-1
1374,0.5
1375,0.33333333333333326
1376,0.25
1377,-1
1378,1.0
1379,-1
1380,0.5
1381,-1
1382,-1
1383,0.1428571428571428
1384,-1
1385,1.0
1386,-1
1387,2.583333333333333
1388,-1
1389,-1
1390,-1
1391,0.1428571428571428
1392,0.11111111111111116
1393,0.19999999999999996
1394,3.333333333333333
1395,-1
1396,-1
1397,-1
1398,2.533333333333333
1399,-1
1400,1.0
1401,-1
1402,3.125
1403,-1
1404,2.6
1405,0.1428571428571428
1406,0.08333333333333326
1407,-1
1408,-1
1409,-1
1410,0.5
1411,-1
1412,-1
1413,1.0
1414,-1
1415,2.392857142857143
1416,-1
1417,-1
1418,-1
1419,-1
1420,-1
1421,-1
1422,0.16666666666666674
1423,4.0
1424,1
1425,-1
1426,0.33333333333333326
1427,-1
1428,-1
1429,1
1430,-1
1431,4.0
1432,-1
1433,-1
1434,-1
1435,-1
1436,-1
1437,0.5
1438,0.19999999999999996
1439,1.0
1440,-1
1441,-1
1442,-1
1443,-1
1444,1
1445,-1
1446,1.0
1447,1.0
1448,1.0
1449,2.625
1450,0.09090909090909083
1451,-1
1452,-1
1453,1.0
1454,-1
1455,-1
1456,1
1457,-1
1458,-1
1459,-1
1460,-1
1461,2.533333333333333
1462,3.2
1463,3.166666666666667
1464,1
1465,2.642857142857143
1466,0.25
1467,-1
1468,-1
1469,-1
1470,-1
1471,-1
1472,-1
1473,-1
1474,-1
1475,1.0
1476,-1
1477,-1
1478,-1
1479,-1
1480,-1
1481,-1
1482,0.25
1483,0.33333333333333326
1484,4
1485,-1
1486,-1
1487,-1
1488,-1
1489,-1
1490,-1
1491,0.25
1492,2.321428571428571
1493,-1
1494,3.25
1495,3.5
1496,-1
1497,3.2
1498,1.0
1499,-1
1500,-1
1501,0.16666666666666674
1502,3.2
1503,0.33333333333333326
1504,-1
1505,-1
1506,-1
1507,-1
1508,0.25
1509,3.333333333333333
1510,-1
1511,1.0
1512,-1
1513,-1
1514,1.0
1515,-1
1516,-1
1517,-1
1518,-1
1519,0.25
1520,4.0
1521,-1
1522,-1
1523,-1
1524,-1
1525,-1
1526,-1
1527,0.07692307692307687
1528,-1
1529,-1
1530,-1
1531,-1
1532,1
1533,2.361111111111111
1534,-1
1535,-1
1536,1.0
1537,4
1538,-1
1539,-1
1540,-1
1541,-1
1542,-1
1543,-1
1544,0.19999999999999996
1545,1
1546,-1
1547,0.19999999999999996
1548,-1
1549,-1
1550,3.0
1551,-1
1552,-1
1553,-1
1554,1.0
1555,3.2
1556,0.5
1557,-1
1558,-1
1559,1.0
1560,-1
1561,-1
1562,3.5
1563,-1
1564,-1
1565,-1
1566,-1
1567,-1
1568,0.5
1569,-1
1570,0.33333333333333326
