episode,attacker_reward,defender_reward,epsilon,hack_probability,episode_length
373,2.833333333333333,-2.0,0.1549480222912372,0.0,7
374,3.333333333333333,-2.0,0.15417328217978102,0.0,6
375,-1.0,1.0,0.1534024157688821,0.0,2
376,-1.0,1.0,0.1526354036900377,0.0,3
377,-1.0,1.0,0.1518722266715875,0.0,3
378,3.25,-2.0,0.15111286553822956,0.0,7
379,1.0,1.0,0.15035730121053842,0.0,3
380,1.0,1.0,0.14960551470448571,0.0,3
381,-1.0,1.0,0.14885748713096328,0.0,2
382,-1.0,1.0,0.14811319969530845,0.0,2
383,-1.0,1.0,0.1473726336968319,0.0,5
384,-1.0,1.0,0.14663577052834775,0.0,2
385,0.33333333333333326,1.0,0.14590259167570602,0.0,7
386,0.19999999999999996,1.0,0.1451730787173275,0.0,7
387,-1.0,1.0,0.14444721332374086,0.0,1
388,-1.0,1.0,0.14372497725712216,0.0,2
389,-1.0,1.0,0.14300635237083656,0.0,1
390,-1.0,1.0,0.14229132060898236,0.0,1
391,-1.0,1.0,0.14157986400593744,0.0,1
392,3.25,-2.0,0.14087196468590776,0.0,7
393,-1.0,1.0,0.14016760486247823,0.0,7
394,-1.0,1.0,0.13946676683816583,0.0,2
395,4.0,-2.0,0.138769433003975,0.0,4
396,-1.0,1.0,0.13807558583895513,0.0,4
397,2.583333333333333,-2.0,0.13738520790976036,0.0,9
398,2.642857142857143,-2.0,0.13669828187021155,0.0,11
399,-1.0,1.0,0.13601479046086049,0.0,1
400,-1.0,1.0,0.1353347165085562,0.0,5
401,0.25,1.0,0.1346580429260134,0.0,7
402,-1.0,1.0,0.13398475271138335,0.0,3
403,-1.0,1.0,0.13331482894782642,0.0,1
404,-1.0,1.0,0.13264825480308728,0.0,4
405,-1.0,1.0,0.13198501352907185,0.0,2
406,1.0,1.0,0.1313250884614265,0.0,7
407,-1.0,1.0,0.13066846301911936,0.0,5
408,0.11111111111111116,1.0,0.13001512070402377,0.0,11
409,-1.0,1.0,0.12936504510050365,0.0,1
410,0.19999999999999996,1.0,0.12871821987500112,0.0,10
411,-1.0,1.0,0.12807462877562611,0.0,7
412,1.0,1.0,0.12743425563174798,0.0,5
413,1.0,1.0,0.12679708435358925,0.0,6
414,0.25,1.0,0.1261630989318213,0.0,10
415,3.166666666666667,-2.0,0.1255322834371622,0.0,9
416,-1.0,1.0,0.12490462201997637,0.0,4
417,0.33333333333333326,1.0,0.1242800989098765,0.0,6
418,-1.0,1.0,0.12365869841532712,0.0,3
419,-1.0,1.0,0.12304040492325048,0.0,4
420,-1.0,1.0,0.12242520289863423,0.0,2
421,4.0,-2.0,0.12181307688414106,0.0,3
422,0.5,1.0,0.12120401149972035,0.0,6
423,-1.0,1.0,0.12059799144222175,0.0,1
424,-1.0,1.0,0.11999500148501063,0.0,6
425,3.25,-2.0,0.11939502647758558,0.0,6
426,2.3666666666666667,-2.0,0.11879805134519765,0.0,13
427,-1.0,1.0,0.11820406108847166,0.0,1
428,-1.0,1.0,0.1176130407830293,0.0,3
429,-1.0,1.0,0.11702497557911415,0.0,2
430,-1.0,1.0,0.11643985070121858,0.0,1
431,4.0,-2.0,0.11585765144771248,0.0,3
432,-1.0,1.0,0.11527836319047392,0.0,2
433,-1.0,1.0,0.11470197137452155,0.0,3
434,0.25,1.0,0.11412846151764894,0.0,6
435,4.0,-2.0,0.1135578192100607,0.0,3
436,-1.0,1.0,0.11299003011401039,0.0,4
