avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.411125,0.76,2.625,0.035010104138282684,0.08,-1817.719674769678,4545,0.0,0.0,0.001,0.10346917133767611
-0.26319444444444445,0.685,3.23,0.03167766001816819,0.105,-1868.8585636585672,4681,0.0,0.0,0.001,0.10351418908983973
-0.39736111111111116,0.745,2.99,0.02866241529197213,0.085,-1948.3307858807896,4830,0.0,0.0,0.001,0.10298528781602628
-0.49911904761904763,0.79,2.79,0.025934177268721895,0.07,-2048.1545954045987,4988,0.0,0.0,0.001,0.10206915706151923
-0.24586904761904763,0.67,3.0,0.023465627155080347,0.11,-2097.3284049284084,5122,0.0,0.0,0.001,0.10228347520605324
-0.3421190476190476,0.715,2.93,0.02123204650279547,0.095,-2164.752214452218,5264,0.0,0.0,0.001,0.10209183002236548
-0.2331607142857143,0.61,2.88,0.019211069694306904,0.13,-2211.384357309361,5386,0.0,0.0,0.001,0.10280733239328291
-0.32655158730158734,0.685,3.005,0.01738245998806218,0.105,-2281.694674769678,5526,0.0,0.0,0.001,0.10286214223222097
-0.38575000000000004,0.715,3.005,0.015727906881006355,0.095,-2353.844674769677,5666,0.0,0.0,0.001,0.10267040604804292
-0.373,0.775,2.76,0.01423084275916598,0.075,-2427.4446747696766,5820,0.0,0.0,0.001,0.1020116652779431
-0.33391071428571434,0.715,3.04,0.012876277000385496,0.095,-2494.226817626818,5963,0.0,0.0,0.001,0.10184862225322637
-0.368952380952381,0.73,2.97,0.011650645868029622,0.09,-2568.0172938172946,6109,0.0,0.0,0.001,0.10157936598113851
-0.33173015873015876,0.685,2.73,0.010541676692585284,0.105,-2634.3633255633254,6246,0.0,0.0,0.001,0.10165537162537495
-0.2568690476190476,0.625,3.06,0.009997382962924335,0.125,-2684.7371350871335,6370,0.0,0.0,0.001,0.10216280839039235
-0.30237500000000006,0.715,2.925,0.009997382962924335,0.095,-2746.7121350871334,6513,0.0,0.0,0.001,0.10201042442293373
-0.22645616883116887,0.67,3.21,0.009997382962924335,0.11,-2792.5033688533667,6647,0.0,0.0,0.001,0.10217685657743986
-0.41387500000000005,0.775,2.975,0.009997382962924335,0.075,-2872.278368853366,6801,0.0,0.0,0.001,0.10162228344046526
-0.2556111111111111,0.655,2.74,0.009997382962924335,0.115,-2923.400591075588,6932,0.0,0.0,0.001,0.10188981101889812
-0.3923214285714286,0.745,2.895,0.009997382962924335,0.085,-3001.864876789874,7081,0.0,0.0,0.001,0.10155867071855701
-0.21177777777777781,0.655,3.065,0.009997382962924335,0.115,-3046.2204323454293,7212,0.0,0.0,0.001,0.10181713296798385
-0.29125,0.67,3.085,0.009997382962924335,0.11,-3102.97043234543,7345,0.0,0.0,0.001,0.10197151212149798
