episode,attacker_reward,defender_reward,epsilon,hack_probability
268,1.0,1,0.26227842021373715,0
269,-1.0,1,0.2609670281126685,0
270,1.0,1,0.25966219297210513,0
271,-1.0,1,0.2583638820072446,0
272,-1.0,1,0.2570720625972084,0
273,-1.0,1,0.25578670228422234,0
274,0.25,1,0.25450776877280124,0
275,-1.0,1,0.2532352299289372,0
276,-1.0,1,0.2519690537792925,0
277,-1.0,1,0.2507092085103961,0
278,-1.0,1,0.2494556624678441,0
279,-1.0,1,0.24820838415550486,0
280,1.0,1,0.24696734223472733,0
281,-1.0,1,0.2457325055235537,0
282,-1.0,1,0.24450384299593592,0
283,-1.0,1,0.24328132378095624,0
284,0.5,1,0.24206491716205145,0
285,-1.0,1,0.2408545925762412,0
286,0.19999999999999996,1,0.23965031961336,0
287,-1.0,1,0.2384520680152932,0
288,-1.0,1,0.23725980767521673,0
289,-1.0,1,0.23607350863684065,0
290,-1.0,1,0.23489314109365644,0
291,-1.0,1,0.23371867538818816,0
292,-1.0,1,0.23255008201124722,0
293,-1.0,1,0.231387331601191,0
294,2.590909090909091,-2,0.23023039494318503,0
295,-1.0,1,0.2290792429684691,0
296,1.0,1,0.22793384675362674,0
297,-1.0,1,0.22679417751985861,0
298,-1.0,1,0.22566020663225933,0
299,-1.0,1,0.22453190559909803,0
300,-1.0,1,0.22340924607110255,0
301,-1.0,1,0.22229219984074702,0
302,3.2,-2,0.2211807388415433,0
303,-1.0,1,0.22007483514733558,0
304,-1.0,1,0.2189744609715989,0
305,-1.0,1,0.2178795886667409,0
306,-1.0,1,0.2167901907234072,0
307,-1.0,1,0.21570623976979014,0
308,1.0,1,0.21462770857094118,0
309,-1.0,1,0.21355457002808648,0
310,0.5,1,0.21248679717794605,0
311,-1.0,1,0.21142436319205632,0
312,-1.0,1,0.21036724137609603,0
313,-1.0,1,0.20931540516921554,0
314,0.5,1,0.20826882814336947,0
315,-1.0,1,0.20722748400265262,0
316,4.0,-2,0.20619134658263935,0
